country1,country2,dist_squared
alb,hun,474776.1216
alb,idn,104289845.8176
alb,ind,28328367.5536
alb,irl,5549605.1776
alb,irn,7888233.96
alb,irq,5490258.1969
alb,isl,13506066.0036
alb,isr,2825357.5744
alb,ita,374250.2976
alb,jam,85390906.1184
alb,jor,3145018.4964
alb,jpn,90285533.4969
alb,kaz,21301455.6225
alb,ken,25452832.2064
alb,kgz,19755713.6676
alb,khm,76781756.7504
alb,kir,212289853.8289
alb,kna,66336952.5625
alb,kor,73321372.5841
alb,kwt,8227144.89
alb,lao,65922220.5625
alb,lbn,2591230.6729
alb,lbr,24342579.7924
alb,lby,1268596.7424
alb,lca,67746562.4889
alb,lka,49398265.9921
alb,lso,62454247.84
alb,ltu,2371815.6049
alb,lux,1973687.8144
alb,lva,3115295.6004
alb,mac,75704268.6724
alb,mar,6118795.9044
alb,mda,913840.4025
alb,mdg,53049080.9104
alb,mdv,45396197.0289
alb,mex,116793842.6944
alb,mhl,193176363.4641
alb,mkd,24323.5216
alb,mli,17462285.8641
alb,mlt,576263.1744
alb,mmr,58768475.9236
alb,mng,43033075.2016
alb,mnp,135534301.2864
alb,moz,57841652.8369
alb,mrt,18189969.1009
alb,msr,66328319.4084
alb,mus,61959882.5316
alb,mwi,39958201.5625
alb,mys,82966593.96
alb,nam,50659518.0025
alb,ncl,264632532.3009
alb,ner,12526715.2761
alb,nfk,284075855.7025
alb,nga,17700700.1284
alb,nic,108870025.4464
alb,niu,302192330.3424
alb,nld,2771625.6324
alb,nor,4667500.9936
alb,npl,36604557.0289
alb,nru,207859692.6756
alb,nzl,322989189.61
alb,omn,16784179.9225
alb,pak,22180520.5444
alb,pan,102565648.6009
alb,pcn,279670769.6896
alb,per,131609766.7369
alb,phl,97024470.01
alb,plw,131652905.4801
alb,png,190172374.09
alb,pol,1484279.2561
alb,prk,70089211.9249
alb,prt,6112761.76
alb,pry,118319571.1504
alb,pyf,295752974.4009
alb,qat,11710631.5264
alb,rus,4258775.1424
alb,rwa,24265180.4409
alb,sau,9640217.7169
alb,sdn,9732715.2729
alb,sen,21683271.6409
alb,sgp,88814226.2569
alb,shn,47510967.5524
alb,slb,217865275.2676
alb,sle,23946635.8609
alb,slv,111005820.9649
alb,smr,444195.5904
alb,som,25677630.6361
alb,spm,34478857.2969
alb,stp,22699983.8025
alb,sur,69527580.4224
alb,svk,622095.0129
alb,svn,460104.4561
alb,swe,4028049
alb,swz,58082537.0161
alb,syc,39267267.6496
alb,syr,2872923.3009
alb,tca,72867734.7876
alb,tcd,10759843.2484
alb,tgo,18674843.6736
alb,tha,67917212.6161
alb,tjk,17110714.9801
alb,tkl,264124903.6864
alb,tkm,10886238.3249
alb,ton,302023732.1689
alb,tto,72536733.9225
alb,tun,937024
alb,tur,585867.7764
alb,tuv,251323950.24
alb,tza,32710506.8761
alb,uga,22475943.1744
alb,ukr,1700337.7609
alb,ury,132012057.1225
alb,usa,55348094.5369
alb,uzb,16586885.29
alb,vct,69049950.7369
alb,ven,80494810.1721
alb,vgb,67564125.6676
alb,vnm,66797765.5401
alb,vut,257554994.1904
alb,wlf,273847556.7556
alb,wsm,254108467.0084
alb,yem,13843906.1476
alb,zaf,70195240.6276
alb,zmb,40723286.9904
alb,zwe,44708346.1449
and,and,64.1601
and,ant,56402803.6324
and,are,27140869.8961
and,arg,110976533.0116
and,arm,12700670.44
and,atg,43101982.3441
and,aus,296891164.0809
and,aut,1748212.84
and,aze,15912998.5921
and,bdi,33906513.7849
and,bel,907256.25
and,ben,16153566.7225
and,bfa,11366742.5316
and,bgd,66823594.6849
